image	chan	mean	median	sigma	min	max	noise	avgDev	mad	sqrtbwmv	location	scale
12	1	1.699692e-03	1.628257e-03	2.052376e-03	1.212000e-03	1.000000e+00	3.801022e-05	1.174243e-04	4.399823e-05	6.921663e-05	1.624659e-03	6.527734e-05
12	2	1.260617e-03	1.207971e-03	1.798608e-03	5.301530e-04	8.886241e-01	3.405953e-05	9.545799e-05	3.958731e-05	6.163977e-05	1.205585e-03	5.896560e-05
13	0	1.529825e-03	1.486227e-03	1.543921e-03	0.000000e+00	8.652960e-01	3.458007e-05	8.479073e-05	3.807228e-05	5.914635e-05	1.483985e-03	5.666302e-05
13	1	2.351350e-03	2.280730e-03	2.045361e-03	1.845429e-03	1.000000e+00	3.789693e-05	1.177039e-04	4.496733e-05	7.086915e-05	2.277151e-03	6.693486e-05
13	2	1.915012e-03	1.863135e-03	1.790577e-03	1.158727e-03	8.954163e-01	3.409539e-05	9.533391e-05	4.016961e-05	6.250607e-05	1.860710e-03	5.984966e-05
14	0	1.150066e-03	1.112090e-03	1.451158e-03	0.000000e+00	8.628045e-01	3.471821e-05	8.252979e-05	4.031640e-05	6.244362e-05	1.110111e-03	6.021719e-05
14	1	2.188841e-03	2.125372e-03	1.906034e-03	1.351094e-03	1.000000e+00	4.060690e-05	1.177193e-04	5.023391e-05	7.862406e-05	2.121910e-03	7.474523e-05
14	2	1.487394e-03	1.442182e-03	1.656829e-03	6.219441e-04	9.122599e-01	3.498356e-05	9.053798e-05	4.140284e-05	6.414934e-05	1.440063e-03	6.175657e-05
15	0	1.551502e-03	1.513632e-03	1.431821e-03	2.927972e-04	8.503315e-01	3.481606e-05	8.064647e-05	3.891960e-05	6.037161e-05	1.511666e-03	5.814894e-05
15	1	2.550906e-03	2.487002e-03	1.866849e-03	1.452462e-03	1.000000e+00	4.066126e-05	1.145097e-04	4.756618e-05	7.453022e-05	2.483525e-03	7.065647e-05
15	2	1.877616e-03	1.832899e-03	1.611785e-03	0.000000e+00	9.046850e-01	3.499411e-05	8.908605e-05	4.066296e-05	6.291841e-05	1.830778e-03	6.053364e-05
16	0	1.052404e-03	1.017305e-03	1.317617e-03	0.000000e+00	7.974216e-01	3.261113e-05	7.493115e-05	3.629787e-05	5.622130e-05	1.015442e-03	5.415971e-05
16	1	2.019546e-03	1.959851e-03	1.739692e-03	1.182376e-03	1.000000e+00	3.796039e-05	1.064253e-04	4.409524e-05	6.901294e-05	1.956620e-03	6.540977e-05
16	2	1.356857e-03	1.314926e-03	1.527284e-03	5.043044e-04	8.918918e-01	3.281771e-05	8.347507e-05	3.819735e-05	5.885202e-05	1.312897e-03	5.661181e-05
17	0	1.028254e-03	9.928984e-04	1.330479e-03	0.000000e+00	7.784262e-01	3.199951e-05	7.503343e-05	3.671094e-05	5.659900e-05	9.910360e-04	5.453131e-05
17	1	1.971968e-03	1.912015e-03	1.739735e-03	1.420758e-03	1.000000e+00	3.727719e-05	1.061143e-04	4.418617e-05	6.898182e-05	1.908668e-03	6.535660e-05
17	2	1.329309e-03	1.287104e-03	1.530973e-03	4.036867e-04	8.978767e-01	3.234650e-05	8.342439e-05	3.819611e-05	5.879623e-05	1.285042e-03	5.654383e-05
18	0	9.554714e-04	9.229875e-04	1.237441e-03	0.000000e+00	7.178861e-01	2.966859e-05	6.904731e-05	3.359715e-05	5.193769e-05	9.213274e-04	5.002432e-05
18	1	1.792501e-03	1.737482e-03	1.623454e-03	1.092697e-03	1.000000e+00	3.429758e-05	9.832830e-05	4.115486e-05	6.412293e-05	1.734409e-03	6.077412e-05
18	2	1.230015e-03	1.191139e-03	1.428834e-03	4.321634e-04	8.834712e-01	2.989921e-05	7.728040e-05	3.549802e-05	5.452356e-05	1.189233e-03	5.244119e-05
19	0	1.158292e-03	1.118183e-03	1.479151e-03	0.000000e+00	8.810471e-01	3.389090e-05	8.157680e-05	3.825080e-05	5.922592e-05	1.116047e-03	5.687400e-05
19	1	2.061951e-03	1.993940e-03	1.945237e-03	1.620886e-03	1.000000e+00	3.896072e-05	1.162568e-04	4.614662e-05	7.252432e-05	1.990218e-03	6.848674e-05
19	2	1.486456e-03	1.438267e-03	1.676682e-03	5.429141e-04	8.585669e-01	3.404100e-05	9.160559e-05	4.007627e-05	6.216456e-05	1.435929e-03	5.961392e-05
20	0	1.034332e-03	9.936474e-04	1.494853e-03	0.000000e+00	8.586417e-01	3.447264e-05	8.258679e-05	3.846765e-05	5.976044e-05	9.914860e-04	5.736224e-05
20	1	1.988306e-03	1.919537e-03	1.971947e-03	1.298957e-03	1.000000e+00	3.946245e-05	1.171208e-04	4.605001e-05	7.245643e-05	1.915826e-03	6.838388e-05
20	2	1.397270e-03	1.348298e-03	1.714995e-03	3.139620e-04	8.947530e-01	3.458737e-05	9.277027e-05	4.040215e-05	6.275186e-05	1.345954e-03	6.016246e-05
21	0	8.729131e-04	8.306535e-04	1.527023e-03	0.000000e+00	8.638636e-01	3.531585e-05	8.487533e-05	3.928576e-05	6.103007e-05	8.284006e-04	5.855860e-05
21	1	1.808955e-03	1.737703e-03	2.034140e-03	1.282939e-03	1.000000e+00	4.011130e-05	1.201919e-04	4.703702e-05	7.374455e-05	1.733950e-03	6.959977e-05
21	2	1.206971e-03	1.156293e-03	1.780890e-03	4.244940e-04	9.150190e-01	3.522036e-05	9.525969e-05	4.124174e-05	6.398342e-05	1.153838e-03	6.132505e-05
22	0	9.742098e-04	9.355482e-04	1.412575e-03	0.000000e+00	7.986761e-01	3.269403e-05	7.852844e-05	3.659832e-05	5.685269e-05	9.334999e-04	5.458596e-05
22	1	1.849802e-03	1.784577e-03	1.872837e-03	1.055180e-03	1.000000e+00	3.717677e-05	1.111867e-04	4.388417e-05	6.883012e-05	1.781135e-03	6.501765e-05
22	2	1.300822e-03	1.254278e-03	1.630842e-03	3.157600e-04	8.780525e-01	3.267768e-05	8.820846e-05	3.852559e-05	5.965725e-05	1.252070e-03	5.720655e-05
23	0	8.667120e-04	8.299984e-04	1.337578e-03	0.000000e+00	7.474917e-01	3.115011e-05	7.550020e-05	3.580855e-05	5.543696e-05	8.281104e-04	5.327304e-05
23	1	1.704364e-03	1.642663e-03	1.786863e-03	1.169831e-03	1.000000e+00	3.536261e-05	1.070842e-04	4.331636e-05	6.781428e-05	1.639425e-03	6.418384e-05
23	2	1.167136e-03	1.123131e-03	1.561765e-03	2.897159e-04	8.743864e-01	3.116088e-05	8.463231e-05	3.753947e-05	5.801369e-05	1.121004e-03	5.568110e-05
24	0	9.320980e-04	8.925089e-04	1.472666e-03	0.000000e+00	8.648000e-01	3.616298e-05	8.435745e-05	4.102176e-05	6.349532e-05	8.904273e-04	6.112656e-05
24	1	1.868529e-03	1.801248e-03	1.947259e-03	1.349401e-03	1.000000e+00	4.118030e-05	1.193839e-04	4.969976e-05	7.755590e-05	1.797577e-03	7.351700e-05
24	2	1.278228e-03	1.230529e-03	1.703923e-03	4.017507e-04	8.443261e-01	3.636672e-05	9.443778e-05	4.309721e-05	6.652076e-05	1.228216e-03	6.395556e-05
25	0	9.066753e-04	8.665522e-04	1.481201e-03	0.000000e+00	8.700338e-01	3.674181e-05	8.480880e-05	4.098909e-05	6.347411e-05	8.644086e-04	6.106761e-05
25	1	1.848921e-03	1.780519e-03	1.956201e-03	1.445577e-03	1.000000e+00	4.166492e-05	1.193183e-04	4.873267e-05	7.618721e-05	1.776880e-03	7.210455e-05
25	2	1.240270e-03	1.192185e-03	1.699636e-03	2.526237e-04	8.828140e-01	3.680193e-05	9.465509e-05	4.298617e-05	6.638396e-05	1.189865e-03	6.379675e-05
26	0	1.141498e-03	1.101622e-03	1.472981e-03	0.000000e+00	8.287667e-01	3.668215e-05	8.436743e-05	4.080412e-05	6.306990e-05	1.099522e-03	6.068693e-05
26	1	2.098158e-03	2.030202e-03	1.959463e-03	1.526379e-03	1.000000e+00	4.150269e-05	1.188044e-04	4.844274e-05	7.572867e-05	2.026572e-03	7.170110e-05
26	2	1.491745e-03	1.443761e-03	1.707894e-03	3.408524e-04	9.181761e-01	3.677721e-05	9.449308e-05	4.268473e-05	6.608064e-05	1.441443e-03	6.351001e-05
27	0	1.282221e-03	1.246281e-03	1.355583e-03	0.000000e+00	7.621564e-01	3.437709e-05	7.856459e-05	3.899298e-05	6.006095e-05	1.244396e-03	5.789411e-05
27	1	2.166256e-03	2.105278e-03	1.799840e-03	1.741320e-03	1.000000e+00	3.883068e-05	1.104208e-04	4.637648e-05	7.250348e-05	2.101971e-03	6.884508e-05
27	2	1.604741e-03	1.561316e-03	1.575232e-03	6.267109e-04	8.684999e-01	3.459049e-05	8.771383e-05	4.050500e-05	6.259840e-05	1.559181e-03	6.024484e-05
28	0	9.019138e-04	8.637847e-04	1.413198e-03	0.000000e+00	7.674565e-01	3.491727e-05	8.056904e-05	3.916543e-05	6.038892e-05	8.617974e-04	5.812429e-05
28	1	1.787873e-03	1.723577e-03	1.871545e-03	1.254520e-03	1.000000e+00	3.925168e-05	1.128289e-04	4.619117e-05	7.224577e-05	1.720125e-03	6.847483e-05
28	2	1.209980e-03	1.164382e-03	1.635666e-03	3.774094e-04	9.000851e-01	3.504389e-05	9.019283e-05	4.094693e-05	6.337328e-05	1.162143e-03	6.093663e-05
29	0	2.445198e-03	2.409194e-03	1.351366e-03	0.000000e+00	7.574868e-01	3.381852e-05	7.818989e-05	3.877339e-05	5.977146e-05	2.407280e-03	5.759459e-05
29	1	3.290358e-03	3.229340e-03	1.809961e-03	2.622501e-03	1.000000e+00	3.788423e-05	1.093291e-04	4.580029e-05	7.166882e-05	3.226042e-03	6.803856e-05
29	2	2.727768e-03	2.684463e-03	1.599409e-03	2.017555e-03	9.296537e-01	3.395813e-05	8.715362e-05	4.026261e-05	6.211001e-05	2.682362e-03	5.976941e-05
30	0	9.381011e-04	8.979203e-04	1.493046e-03	0.000000e+00	8.534643e-01	3.682259e-05	8.597825e-05	4.219928e-05	6.518777e-05	8.957773e-04	6.275506e-05
30	1	1.908204e-03	1.839954e-03	1.986239e-03	1.305039e-03	1.000000e+00	4.149597e-05	1.214179e-04	5.084088e-05	7.932867e-05	1.836265e-03	7.522323e-05
30	2	1.287647e-03	1.239365e-03	1.727342e-03	3.343251e-04	9.228514e-01	3.695513e-05	9.598641e-05	4.398156e-05	6.799969e-05	1.236984e-03	6.537719e-05
